i,i_user_agg_count_mean,i_user_agg_count_std,i_user_agg_count_max,i_user_agg_count_median,i_user_agg_amount_mean,i_user_agg_amount_std,i_user_agg_amount_max,i_user_agg_amount_median
15202017,4.0,0.0,4,4,81.2,0.0,81.2,81.2
15202018,1.5,0.5,2,2,17.4,5.8,23.2,23.2
15202020,1.0,0.0,1,1,4.0,0.0,4.0,4.0
15202031,1.0,0.0,1,1,6.0,0.0,6.0,6.0
15202037,1.33,0.47,2,1,12.0,4.24,18.0,9.0
15202038,2.0,0.0,2,2,6.0,0.0,6.0,6.0
15202044,1.36,0.48,2,1,67.09,24.38,108.0,54.0
15202047,1.0,0.0,1,1,10.0,0.0,10.0,10.0
15202061,1.0,0.0,1,1,25.8,0.0,25.8,25.8
15202065,1.0,0.0,1,1,19.8,0.0,19.8,19.8
15202072,1.5,0.5,2,2,8.25,2.75,11.0,11.0
15202078,1.0,0.0,1,1,39.0,0.0,39.0,39.0
15202079,1.5,0.5,2,2,23.4,7.8,31.2,31.2
15202082,1.0,0.0,1,1,54.0,18.0,72.0,72.0
15209006,1.0,0.0,1,1,16.8,0.0,16.8,16.8
15209031,1.0,0.0,1,1,13.8,0.0,13.8,13.8
15209032,1.0,0.0,1,1,13.8,0.0,13.8,13.8
15212003,2.0,0.0,2,2,7.0,0.0,7.0,7.0
15219007,2.0,0.0,2,2,5.2,0.0,5.2,5.2
15230001,1.67,0.75,3,2,10.0,4.47,18.0,12.0
15230002,1.0,0.0,1,1,8.5,0.0,8.5,8.5
15230004,1.38,0.7,3,1,9.62,4.87,21.0,7.0
15231004,1.6,0.8,3,1,8.8,4.4,16.5,5.5
15231005,2.5,3.2,12,2,10.0,12.81,48.0,8.0
15231006,2.5,1.5,4,4,10.0,6.0,16.0,16.0
15231007,1.17,0.37,2,1,8.17,2.61,14.0,7.0
15231008,1.0,0.0,1,1,5.5,0.0,5.5,5.5
15232001,1.64,1.23,5,1,7.36,5.52,22.5,4.5
15232003,1.75,0.83,3,2,8.75,4.15,15.0,10.0
15235001,3.4,3.01,9,2,10.0,10.37,30.0,5.0
15240001,1.0,0.0,1,1,1.0,0.0,1.0,1.0
15240008,1.0,0.0,1,1,8.5,0.0,8.5,8.5
15240010,2.0,0.0,2,2,25.2,0.0,25.2,25.2
15240014,1.0,0.0,1,1,10.0,0.0,10.0,10.0
15240016,2.0,0.0,2,2,19.8,0.0,19.8,19.8
15241004,1.0,0.0,1,1,12.0,0.0,12.0,12.0
15242000,1.0,0.0,1,1,10.9,0.0,10.9,10.9
15242002,2.0,0.0,2,2,21.8,0.0,21.8,21.8
15242005,1.0,0.0,1,1,12.9,0.0,12.9,12.9
15242009,1.0,0.0,1,1,15.9,0.0,15.9,15.9
